runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
410000,75315,537838,1.9883485e-10,0.27586207,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0701499,0.0,123040.73,118058.21,8,29,17,5,1,0,9,31,20,5,1,0,2894,0.4684492011260798,0.8892546618143776
410000,69979,537838,1.7217086e-10,0.8125,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8134868,0.0,176932.7,183779.94,13,16,17,7,0,1,14,20,21,7,0,1,1488,0.4733550132670524,0.628798507138332
410000,76932,537838,1.5156923e-10,0.55,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1752144,0.0,102881.75,92184.14,11,20,19,6,5,4,12,21,21,7,7,7,1738,0.4816410312487599,0.7184478200580686
410000,2070,537838,1.8080372e-10,0.46666667,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5197647,0.0,85073.14,76337.82,7,15,18,6,0,2,8,19,20,7,2,4,1384,0.5543085092343598,0.9514203559666925
410000,73495,537838,1.8100361e-10,0.0,27.832676,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4613519,0.0,134174.08,126533.59,0,28,23,6,2,1,0,28,23,6,3,3,3206,0.5396555584127171,0.912916886649807
410000,76540,537838,5.8170174e-12,0.5,21.01365,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0647111,0.0,74905.57,60275.84,4,8,25,9,1,4,4,9,26,9,1,4,2679,0.5092394552241852,0.9006773154350128
410000,59376,537838,1.5557355e-10,0.0625,5.91096,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8924639,0.0,186293.67,193583.97,1,16,19,6,1,6,1,20,22,6,1,6,2687,0.4679661592596843,0.8947878677373764
410000,68878,537838,1.6619893e-10,1.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4302971,0.0,74089.15,69496.6,21,14,16,9,1,0,21,17,17,10,1,0,2167,0.5431161652196342,0.8812585633718502
410000,55933,537838,1.7382458e-10,0.6,86.91573,3.8722491,1.2907497,1.5556777,2.516318,0.6219269,0.0,0.3286751,-0.1314422,1.2514353,0.0,0.24335852,0.0,1.1416599,0.0,99148.44,105740.48,9,15,33,13,0,2,9,15,33,13,0,2,1282,0.6783156224860749,0.31276607631870834
410000,66362,537838,6.2781147e-10,0.03846154,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0129128,0.0,84603.03,80108.46,1,26,21,13,7,5,1,29,24,13,8,7,1756,0.5865957412989931,0.9240131908420812
410000,79759,537838,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7024527,0.0,63838.176,66685.234,4,10,19,7,2,5,4,13,24,9,3,6,2000,0.5644045068695409,0.7662575929708086
